From	To	Species	Gene Name
ENSG00000106086	84725	Homo sapiens	pleckstrin homology domain containing A8(PLEKHA8)
ENSG00000143033	22823	Homo sapiens	metal response element binding transcription factor 2(MTF2)
ENSG00000106089	6804	Homo sapiens	syntaxin 1A(STX1A)
ENSG00000144366	51454	Homo sapiens	GULP PTB domain containing engulfment adaptor 1(GULP1)
ENSG00000143036	126969	Homo sapiens	solute carrier family 44 member 3(SLC44A3)
ENSG00000131059	128861	Homo sapiens	BPI fold containing family A member 3(BPIFA3)
ENSG00000181396	79701	Homo sapiens	2-oxoglutarate and iron dependent oxygenase domain containing 3(OGFOD3)
ENSG00000132383	6117	Homo sapiens	replication protein A1(RPA1)
ENSG00000204583	100507055	Homo sapiens	leucine rich colipase like 1(LRCOL1)
ENSG00000131051	9584	Homo sapiens	RNA binding motif protein 39(RBM39)
ENSG00000132382	10514	Homo sapiens	MYB binding protein 1a(MYBBP1A)
ENSG00000181392	163183	Homo sapiens	spectrin repeat containing nuclear envelope family member 4(SYNE4)
ENSG00000132386	5176	Homo sapiens	serpin family F member 1(SERPINF1)
ENSG00000131055	84701	Homo sapiens	cytochrome c oxidase subunit 4I2(COX4I2)
ENSG00000204580	780	Homo sapiens	discoidin domain receptor tyrosine kinase 1(DDR1)
ENSG00000132388	7326	Homo sapiens	ubiquitin conjugating enzyme E2 G1(UBE2G1)
ENSG00000143028	284612	Homo sapiens	synaptophysin like 2(SYPL2)
ENSG00000106070	2887	Homo sapiens	growth factor receptor bound protein 10(GRB10)
ENSG00000131050	140683	Homo sapiens	BPI fold containing family A member 2(BPIFA2)
ENSG00000167098	140732	Homo sapiens	Sad1 and UNC84 domain containing 5(SUN5)
ENSG00000145681	1404	Homo sapiens	hyaluronan and proteoglycan link protein 1(HAPLN1)
ENSG00000144354	83879	Homo sapiens	cell division cycle associated 7(CDCA7)
ENSG00000106078	23242	Homo sapiens	cordon-bleu WH2 repeat protein(COBL)
ENSG00000144355	1745	Homo sapiens	distal-less homeobox 1(DLX1)
ENSG00000145685	10184	Homo sapiens	LHFPL tetraspan subfamily member 2(LHFPL2)
ENSG00000106077	83451	Homo sapiens	abhydrolase domain containing 11(ABHD11)
ENSG00000145687	23635	Homo sapiens	single stranded DNA binding protein 2(SSBP2)
ENSG00000179071	220388	Homo sapiens	coiled-coil domain containing 89(CCDC89)
ENSG00000144357	130507	Homo sapiens	ubiquitin protein ligase E3 component n-recognin 3(UBR3)
ENSG00000157657	114991	Homo sapiens	zinc finger protein 618(ZNF618)
ENSG00000242802	9907	Homo sapiens	adaptor related protein complex 5 subunit zeta 1(AP5Z1)
ENSG00000132357	84674	Homo sapiens	caspase recruitment domain family member 6(CARD6)
ENSG00000132359	23108	Homo sapiens	RAP1 GTPase activating protein 2(RAP1GAP2)
ENSG00000179088	374470	Homo sapiens	chromosome 12 open reading frame 42(C12orf42)
ENSG00000119383	5524	Homo sapiens	protein phosphatase 2 phosphatase activator(PTPA)
ENSG00000204574	23	Homo sapiens	ATP binding cassette subfamily F member 1(ABCF1)
ENSG00000131023	9113	Homo sapiens	large tumor suppressor kinase 1(LATS1)
ENSG00000133687	83857	Homo sapiens	transmembrane O-mannosyltransferase targeting cadherins 1(TMTC1)
ENSG00000157654	445815	Homo sapiens	PALM2 and AKAP2 fusion(PALM2AKAP2)
ENSG00000024526	55635	Homo sapiens	DEP domain containing 1(DEPDC1)
ENSG00000158985	56990	Homo sapiens	CDC42 small effector 2(CDC42SE2)
ENSG00000118058	4297	Homo sapiens	lysine methyltransferase 2A(KMT2A)
ENSG00000132356	5562	Homo sapiens	protein kinase AMP-activated catalytic subunit alpha 1(PRKAA1)
ENSG00000158987	51735	Homo sapiens	Rap guanine nucleotide exchange factor 6(RAPGEF6)
ENSG00000229833	100131801	Homo sapiens	PET100 cytochrome c oxidase chaperone(PET100)
ENSG00000204576	80742	Homo sapiens	proline rich 3(PRR3)
ENSG00000204577	11025	Homo sapiens	leukocyte immunoglobulin like receptor B3(LILRB3)
ENSG00000179085	54344	Homo sapiens	dolichyl-phosphate mannosyltransferase subunit 3, regulatory(DPM3)
ENSG00000120370	92344	Homo sapiens	golgin, RAB6 interacting(GORAB)
ENSG00000145675	5295	Homo sapiens	phosphoinositide-3-kinase regulatory subunit 1(PIK3R1)
ENSG00000143013	8543	Homo sapiens	LIM domain only 4(LMO4)
ENSG00000156313	6103	Homo sapiens	retinitis pigmentosa GTPase regulator(RPGR)
ENSG00000131037	54869	Homo sapiens	EPS8 like 1(EPS8L1)
ENSG00000180089	255043	Homo sapiens	transmembrane protein 86B(TMEM86B)
ENSG00000215218	134111	Homo sapiens	ubiquitin conjugating enzyme E2 Q family like 1(UBE2QL1)
ENSG00000215217	134121	Homo sapiens	cilia and flagella associated protein 90(CFAP90)
ENSG00000132361	23277	Homo sapiens	clustered mitochondria homolog(CLUH)
ENSG00000204560	8449	Homo sapiens	DEAH-box helicase 16(DHX16)
ENSG00000119396	51552	Homo sapiens	RAB14, member RAS oncogene family(RAB14)
ENSG00000180083	259239	Homo sapiens	WAP four-disulfide core domain 11(WFDC11)
ENSG00000119397	11064	Homo sapiens	centriolin(CNTRL)
ENSG00000204569	5514	Homo sapiens	protein phosphatase 1 regulatory subunit 10(PPP1R10)
ENSG00000205899	727857	Homo sapiens	basic helix-loop-helix family member a9(BHLHA9)
ENSG00000204568	28973	Homo sapiens	mitochondrial ribosomal protein S18B(MRPS18B)
ENSG00000143006	63948	Homo sapiens	DMRT like family B with proline rich C-terminal 1(DMRTB1)
ENSG00000144339	23671	Homo sapiens	transmembrane protein with EGF like and two follistatin like domains 2(TMEFF2)
ENSG00000204564	221545	Homo sapiens	chromosome 6 open reading frame 136(C6orf136)
ENSG00000179097	3355	Homo sapiens	5-hydroxytryptamine receptor 1F(HTR1F)
ENSG00000144331	151126	Homo sapiens	zinc finger protein 385B(ZNF385B)
ENSG00000179091	1537	Homo sapiens	cytochrome c1(CYC1)
ENSG00000179094	5187	Homo sapiens	period circadian regulator 1(PER1)
ENSG00000158966	57685	Homo sapiens	cache domain containing 1(CACHD1)
ENSG00000157637	124565	Homo sapiens	solute carrier family 38 member 10(SLC38A10)
ENSG00000180098	54952	Homo sapiens	tRNA selenocysteine 1 associated protein 1(TRNAU1AP)
ENSG00000180096	1731	Homo sapiens	septin 1(SEPTIN1)
ENSG00000133661	6441	Homo sapiens	surfactant protein D(SFTPD)
ENSG00000132330	51540	Homo sapiens	selenocysteine lyase(SCLY)
ENSG00000133665	84332	Homo sapiens	DPY30 domain containing 2(DYDC2)
ENSG00000134996	26578	Homo sapiens	osteoclast stimulating factor 1(OSTF1)
ENSG00000132334	5791	Homo sapiens	protein tyrosine phosphatase receptor type E(PTPRE)
ENSG00000156304	57466	Homo sapiens	SR-related CTD associated factor 4(SCAF4)
ENSG00000062822	5424	Homo sapiens	DNA polymerase delta 1, catalytic subunit(POLD1)
ENSG00000036530	10858	Homo sapiens	cytochrome P450 family 46 subfamily A member 1(CYP46A1)
ENSG00000205809	3822	Homo sapiens	killer cell lectin like receptor C2(KLRC2)
ENSG00000107372	7763	Homo sapiens	zinc finger AN1-type containing 5(ZFAND5)
ENSG00000205808	403313	Homo sapiens	phospholipid phosphatase 6(PLPP6)
ENSG00000107371	51010	Homo sapiens	exosome component 3(EXOSC3)
ENSG00000121680	9409	Homo sapiens	peroxisomal biogenesis factor 16(PEX16)
ENSG00000144320	80856	Homo sapiens	lunapark, ER junction formation factor(LNPK)
ENSG00000106038	2128	Homo sapiens	even-skipped homeobox 1(EVX1)
ENSG00000158955	7484	Homo sapiens	Wnt family member 9B(WNT9B)
ENSG00000131016	9590	Homo sapiens	A-kinase anchoring protein 12(AKAP12)
ENSG00000157625	257397	Homo sapiens	TGF-beta activated kinase 1 (MAP3K7) binding protein 3(TAB3)
ENSG00000133678	80195	Homo sapiens	transmembrane protein 254(TMEM254)
ENSG00000118046	6794	Homo sapiens	serine/threonine kinase 11(STK11)
ENSG00000131013	85313	Homo sapiens	peptidylprolyl isomerase like 4(PPIL4)
ENSG00000145649	3001	Homo sapiens	granzyme A(GZMA)
ENSG00000121691	847	Homo sapiens	catalase(CAT)
ENSG00000108691	6347	Homo sapiens	C-C motif chemokine ligand 2(CCL2)
ENSG00000106031	3209	Homo sapiens	homeobox A13(HOXA13)
ENSG00000107362	51104	Homo sapiens	abhydrolase domain containing 17B, depalmitoylase(ABHD17B)
ENSG00000121690	91614	Homo sapiens	DEP domain containing 7(DEPDC7)
ENSG00000106034	79974	Homo sapiens	cadherin like and PC-esterase domain containing 1(CPED1)
ENSG00000145642	100132916	Homo sapiens	shisa like 2B(SHISAL2B)
ENSG00000074803	6557	Homo sapiens	solute carrier family 12 member 1(SLC12A1)
ENSG00000157613	90993	Homo sapiens	cAMP responsive element binding protein 3 like 1(CREB3L1)
ENSG00000132313	51318	Homo sapiens	mitochondrial ribosomal protein L35(MRPL35)
ENSG00000157617	25966	Homo sapiens	C2 calcium dependent domain containing 2(C2CD2)
ENSG00000049860	3074	Homo sapiens	hexosaminidase subunit beta(HEXB)
ENSG00000134970	51014	Homo sapiens	transmembrane p24 trafficking protein 7(TMED7)
ENSG00000158941	57805	Homo sapiens	cell cycle and apoptosis regulator 2(CCAR2)
ENSG00000133641	91298	Homo sapiens	chromosome 12 open reading frame 29(C12orf29)
ENSG00000011258	54799	Homo sapiens	mbt domain containing 1(MBTD1)
ENSG00000146966	27147	Homo sapiens	DENN domain containing 2A(DENND2A)
ENSG00000120337	8995	Homo sapiens	TNF superfamily member 18(TNFSF18)
ENSG00000118017	51146	Homo sapiens	alpha-1,4-N-acetylglucosaminyltransferase(A4GNT)
ENSG00000120334	91687	Homo sapiens	centromere protein L(CENPL)
ENSG00000144306	79634	Homo sapiens	secernin 3(SCRN3)
ENSG00000120332	63923	Homo sapiens	tenascin N(TNN)
ENSG00000106066	54504	Homo sapiens	carboxypeptidase vitellogenic like(CPVL)
ENSG00000120333	63931	Homo sapiens	mitochondrial ribosomal protein S14(MRPS14)
ENSG00000106069	1124	Homo sapiens	chimerin 2(CHN2)
ENSG00000050820	9564	Homo sapiens	BCAR1 scaffold protein, Cas family member(BCAR1)
ENSG00000145632	10769	Homo sapiens	polo like kinase 2(PLK2)
ENSG00000146963	51631	Homo sapiens	LUC7 like 2, pre-mRNA splicing factor(LUC7L2)
ENSG00000133657	79572	Homo sapiens	ATPase 13A3(ATP13A3)
ENSG00000134986	9315	Homo sapiens	neuronal regeneration related protein(NREP)
ENSG00000134987	134430	Homo sapiens	WD repeat domain 36(WDR36)
ENSG00000132326	8864	Homo sapiens	period circadian regulator 2(PER2)
ENSG00000132329	10267	Homo sapiens	receptor activity modifying protein 1(RAMP1)
ENSG00000011260	51096	Homo sapiens	UTP18 small subunit processome component(UTP18)
ENSG00000132321	79781	Homo sapiens	IQ motif containing with AAA domain 1(IQCA1)
ENSG00000134982	324	Homo sapiens	APC regulator of WNT signaling pathway(APC)
ENSG00000132323	80895	Homo sapiens	ILK associated serine/threonine phosphatase(ILKAP)
ENSG00000157600	84187	Homo sapiens	transmembrane protein 164(TMEM164)
ENSG00000157601	4599	Homo sapiens	MX dynamin like GTPase 1(MX1)
ENSG00000146955	401409	Homo sapiens	RAB19, member RAS oncogene family(RAB19)
ENSG00000145623	9180	Homo sapiens	oncostatin M receptor(OSMR)
ENSG00000121671	1408	Homo sapiens	cryptochrome circadian regulator 2(CRY2)
ENSG00000106052	8887	Homo sapiens	Tax1 binding protein 1(TAX1BP1)
ENSG00000229809	146542	Homo sapiens	zinc finger protein 688(ZNF688)
ENSG00000036549	26009	Homo sapiens	zinc finger ZZ-type containing 3(ZZZ3)
ENSG00000120341	89866	Homo sapiens	SEC16 homolog B, endoplasmic reticulum export factor(SEC16B)
ENSG00000134955	219855	Homo sapiens	solute carrier family 37 member 2(SLC37A2)
ENSG00000106004	3202	Homo sapiens	homeobox A5(HOXA5)
ENSG00000108669	9267	Homo sapiens	cytohesin 1(CYTH1)
ENSG00000107338	6461	Homo sapiens	SH2 domain containing adaptor protein B(SHB)
ENSG00000074842	56005	Homo sapiens	myeloid derived growth factor(MYDGF)
ENSG00000108666	64149	Homo sapiens	chromosome 17 open reading frame 75(C17orf75)
ENSG00000134954	2113	Homo sapiens	ETS proto-oncogene 1, transcription factor(ETS1)
ENSG00000106006	3203	Homo sapiens	homeobox A6(HOXA6)
ENSG00000106009	221927	Homo sapiens	BRCA1 associated ATM activator 1(BRAT1)
ENSG00000110987	605	Homo sapiens	BAF chromatin remodeling complex subunit BCL7A(BCL7A)
ENSG00000049883	79810	Homo sapiens	pentatricopeptide repeat domain 2(PTCD2)
ENSG00000133627	57180	Homo sapiens	actin related protein 3B(ACTR3B)
ENSG00000119321	23307	Homo sapiens	FKBP prolyl isomerase family member 15(FKBP15)
ENSG00000086827	9183	Homo sapiens	zw10 kinetochore protein(ZW10)
ENSG00000120314	54853	Homo sapiens	WD repeat domain 55(WDR55)
ENSG00000119326	8727	Homo sapiens	catenin alpha like 1(CTNNAL1)
ENSG00000121644	51029	Homo sapiens	desumoylating isopeptidase 2(DESI2)
ENSG00000119328	54942	Homo sapiens	actin binding transcription modulator(ABITRAM)
ENSG00000205846	93978	Homo sapiens	C-type lectin domain containing 6A(CLEC6A)
ENSG00000204510	441871	Homo sapiens	PRAME family member 7(PRAMEF7)
ENSG00000120318	64411	Homo sapiens	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3(ARAP3)
ENSG00000109991	5024	Homo sapiens	purinergic receptor P2X 3(P2RX3)
ENSG00000133619	84626	Homo sapiens	KRAB-A domain containing 1(KRBA1)
ENSG00000011275	54476	Homo sapiens	ring finger protein 216(RNF216)
ENSG00000204518	343066	Homo sapiens	arylacetamide deacetylase like 4(AADACL4)
ENSG00000107331	20	Homo sapiens	ATP binding cassette subfamily A member 2(ABCA2)
ENSG00000122971	35	Homo sapiens	acyl-CoA dehydrogenase short chain(ACADS)
ENSG00000106003	3955	Homo sapiens	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase(LFNG)
ENSG00000204519	90233	Homo sapiens	zinc finger protein 551(ZNF551)
ENSG00000122970	28981	Homo sapiens	intraflagellar transport 81(IFT81)
ENSG00000048545	2978	Homo sapiens	guanylate cyclase activator 1A(GUCA1A)
ENSG00000074855	57719	Homo sapiens	anoctamin 8(ANO8)
ENSG00000133636	4922	Homo sapiens	neurotensin(NTS)
ENSG00000048544	55173	Homo sapiens	mitochondrial ribosomal protein S10(MRPS10)
ENSG00000132305	10989	Homo sapiens	inner membrane mitochondrial protein(IMMT)
ENSG00000133639	694	Homo sapiens	BTG anti-proliferation factor 1(BTG1)
ENSG00000048540	55885	Homo sapiens	LIM domain only 3(LMO3)
ENSG00000110975	341359	Homo sapiens	synaptotagmin 10(SYT10)
ENSG00000134962	152831	Homo sapiens	klotho beta(KLB)
ENSG00000119333	89891	Homo sapiens	dynein 2 intermediate chain 2(DYNC2I2)
ENSG00000118004	78989	Homo sapiens	collectin subfamily member 11(COLEC11)
ENSG00000132300	55037	Homo sapiens	pentatricopeptide repeat domain 3(PTCD3)
ENSG00000037897	4234	Homo sapiens	methyltransferase 1, tRNA methylguanosine(METTL1)
ENSG00000145604	6502	Homo sapiens	S-phase kinase associated protein 2(SKP2)
ENSG00000036565	6570	Homo sapiens	solute carrier family 18 member A1(SLC18A1)
ENSG00000118007	10274	Homo sapiens	stromal antigen 1(STAG1)
ENSG00000204505	343070	Homo sapiens	PRAME family member 9(PRAMEF9)
ENSG00000122986	84329	Homo sapiens	hydrogen voltage gated channel 1(HVCN1)
ENSG00000120324	56126	Homo sapiens	protocadherin beta 10(PCDHB10)
ENSG00000205835	647309	Homo sapiens	geminin coiled-coil domain containing(GMNC)
ENSG00000120329	83884	Homo sapiens	solute carrier family 25 member 2(SLC25A2)
ENSG00000205832	342346	Homo sapiens	chromosome 16 open reading frame 96(C16orf96)
ENSG00000120327	56122	Homo sapiens	protocadherin beta 14(PCDHB14)
ENSG00000204501	653619	Homo sapiens	PRAME family member 15(PRAMEF15)
ENSG00000120328	56124	Homo sapiens	protocadherin beta 12(PCDHB12)
ENSG00000121653	9479	Homo sapiens	mitogen-activated protein kinase 8 interacting protein 1(MAPK8IP1)
ENSG00000205838	153657	Homo sapiens	tetratricopeptide repeat domain 23 like(TTC23L)
ENSG00000108654	1655	Homo sapiens	DEAD-box helicase 5(DDX5)
ENSG00000108651	55813	Homo sapiens	UTP6 small subunit processome component(UTP6)
ENSG00000047249	51606	Homo sapiens	ATPase H+ transporting V1 subunit H(ATP6V1H)
ENSG00000133606	23608	Homo sapiens	makorin ring finger protein 1(MKRN1)
ENSG00000146918	54892	Homo sapiens	non-SMC condensin II complex subunit G2(NCAPG2)
ENSG00000122952	11130	Homo sapiens	ZW10 interacting kinetochore protein(ZWINT)
ENSG00000121621	81930	Homo sapiens	kinesin family member 18A(KIF18A)
ENSG00000146926	136371	Homo sapiens	ankyrin repeat and SOCS box containing 10(ASB10)
ENSG00000122958	9559	Homo sapiens	VPS26 retromer complex component A(VPS26A)
ENSG00000011295	54902	Homo sapiens	tetratricopeptide repeat domain 19(TTC19)
ENSG00000108684	40	Homo sapiens	acid sensing ion channel subunit 2(ASIC2)
ENSG00000106025	23554	Homo sapiens	tetraspanin 12(TSPAN12)
ENSG00000108679	3959	Homo sapiens	galectin 3 binding protein(LGALS3BP)
ENSG00000106018	7434	Homo sapiens	vasoactive intestinal peptide receptor 2(VIPR2)
ENSG00000133612	116988	Homo sapiens	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3(AGAP3)
ENSG00000023287	9821	Homo sapiens	RB1 inducible coiled-coil 1(RB1CC1)
ENSG00000146909	64434	Homo sapiens	nucleolar protein with MIF4G domain 1(NOM1)
ENSG00000134940	56	Homo sapiens	acrosomal vesicle protein 1(ACRV1)
ENSG00000122966	11113	Homo sapiens	citron rho-interacting serine/threonine kinase(CIT)
ENSG00000121634	2703	Homo sapiens	gap junction protein alpha 8(GJA8)
ENSG00000122965	9904	Homo sapiens	RNA binding motif protein 19(RBM19)
ENSG00000146910	285888	Homo sapiens	canopy FGF signaling regulator 1(CNPY1)
ENSG00000119318	5887	Homo sapiens	RAD23 homolog B, nucleotide excision repair protein(RAD23B)
ENSG00000205810	3823	Homo sapiens	killer cell lectin like receptor C3(KLRC3)
ENSG00000120306	84418	Homo sapiens	cysteine rich transmembrane module containing 1(CYSTM1)
ENSG00000108671	5717	Homo sapiens	proteasome 26S subunit, non-ATPase 11(PSMD11)
ENSG00000107341	54926	Homo sapiens	ubiquitin conjugating enzyme E2 R2(UBE2R2)
ENSG00000047230	56474	Homo sapiens	CTP synthase 2(CTPS2)
ENSG00000133706	51520	Homo sapiens	leucyl-tRNA synthetase 1(LARS1)
ENSG00000133704	10526	Homo sapiens	importin 8(IPO8)
ENSG00000084207	2950	Homo sapiens	glutathione S-transferase pi 1(GSTP1)
ENSG00000119401	22954	Homo sapiens	tripartite motif containing 32(TRIM32)
ENSG00000119403	26147	Homo sapiens	PHD finger protein 19(PHF19)
ENSG00000119408	10783	Homo sapiens	NIMA related kinase 6(NEK6)
ENSG00000277494	338328	Homo sapiens	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1(GPIHBP1)
ENSG00000252199	124900471	Homo sapiens	small nucleolar RNA SNORA70(LOC124900471)
ENSG00000107404	1855	Homo sapiens	dishevelled segment polarity protein 1(DVL1)
ENSG00000133710	11005	Homo sapiens	serine peptidase inhibitor Kazal type 5(SPINK5)
ENSG00000108733	5193	Homo sapiens	peroxisomal biogenesis factor 12(PEX12)
ENSG00000119411	54836	Homo sapiens	B-box and SPRY domain containing(BSPRY)
ENSG00000119414	5537	Homo sapiens	protein phosphatase 6 catalytic subunit(PPP6C)
ENSG00000265491	27246	Homo sapiens	ring finger protein 115(RNF115)
ENSG00000252186	106479911	Homo sapiens	RNA, U6 small nuclear 781, pseudogene(RNU6-781P)
ENSG00000073536	54475	Homo sapiens	notchless homolog 1(NLE1)
ENSG00000106105	2617	Homo sapiens	glycyl-tRNA synthetase 1(GARS1)
ENSG00000107438	9124	Homo sapiens	PDZ and LIM domain 1(PDLIM1)
ENSG00000072201	84708	Homo sapiens	ligand of numb-protein X 1(LNX1)
ENSG00000086848	79796	Homo sapiens	ALG9 alpha-1,2-mannosyltransferase(ALG9)
ENSG00000106100	10392	Homo sapiens	nucleotide binding oligomerization domain containing 1(NOD1)
ENSG00000072210	224	Homo sapiens	aldehyde dehydrogenase 3 family member A2(ALDH3A2)
ENSG00000108759	3882	Homo sapiens	keratin 32(KRT32)
ENSG00000277481	342372	Homo sapiens	polycystin 1 like 3, transient receptor potential channel interacting(PKD1L3)
