NCBI GeneID	Symbol	Description
3481	IGF2	insulin like growth factor 2
3627	CXCL10	C-X-C motif chemokine ligand 10
3953	LEPR	leptin receptor
407040	MIR34A	microRNA 34a
4128	MAOA	monoamine oxidase A
4170	MCL1	MCL1 apoptosis regulator, BCL2 family member
4988	OPRM1	opioid receptor mu 1
6352	CCL5	C-C motif chemokine ligand 5
1577	CYP3A5	cytochrome P450 family 3 subfamily A member 5
196	AHR	aryl hydrocarbon receptor
2263	FGFR2	fibroblast growth factor receptor 2
3486	IGFBP3	insulin like growth factor binding protein 3
4089	SMAD4	SMAD family member 4
5347	PLK1	polo like kinase 1
650	BMP2	bone morphogenetic protein 2
6657	SOX2	SRY-box transcription factor 2
8842	PROM1	prominin 1
328	APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1
3643	INSR	insulin receptor
4968	OGG1	8-oxoguanine DNA glycosylase
682	BSG	basigin (Ok blood group)
7098	TLR3	toll like receptor 3
7132	TNFRSF1A	TNF receptor superfamily member 1A
7291	TWIST1	twist family bHLH transcription factor 1
8600	TNFSF11	TNF superfamily member 11
983	CDK1	cyclin dependent kinase 1
10135	NAMPT	nicotinamide phosphoribosyltransferase
108684022	FRAXA	fragile site, folic acid type, rare, fra(X)(q27.3) A
2309	FOXO3	forkhead box O3
4088	SMAD3	SMAD family member 3
5460	POU5F1	POU class 5 homeobox 1
5888	RAD51	RAD51 recombinase
2260	FGFR1	fibroblast growth factor receptor 1
2261	FGFR3	fibroblast growth factor receptor 3
3784	KCNQ1	potassium voltage-gated channel subfamily Q member 1
7161	TP73	tumor protein p73
718	C3	complement C3
1387	CREBBP	CREB binding protein
1756	DMD	dystrophin
356	FASLG	Fas ligand
5329	PLAUR	plasminogen activator, urokinase receptor
7076	TIMP1	TIMP metallopeptidase inhibitor 1
90865	IL33	interleukin 33
1490	CCN2	cellular communication network factor 2
1786	DNMT1	DNA methyltransferase 1
1803	DPP4	dipeptidyl peptidase 4
2308	FOXO1	forkhead box O1
26191	PTPN22	protein tyrosine phosphatase non-receptor type 22
2778	GNAS	GNAS complex locus
3117	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1
3596	IL13	interleukin 13
4763	NF1	neurofibromin 1
11093	ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13
11200	CHEK2	checkpoint kinase 2
1191	CLU	clusterin
1571	CYP2E1	cytochrome P450 family 2 subfamily E member 1
3315	HSPB1	heat shock protein family B (small) member 1
8878	SQSTM1	sequestosome 1
598	BCL2L1	BCL2 like 1
7298	TYMS	thymidylate synthetase
846	CASR	calcium sensing receptor
1017	CDK2	cyclin dependent kinase 2
1116	CHI3L1	chitinase 3 like 1
1586	CYP17A1	cytochrome P450 family 17 subfamily A member 1
9518	GDF15	growth differentiation factor 15
100507436	MICA	MHC class I polypeptide-related sequence A
1457	CSNK2A1	casein kinase 2 alpha 1
2305	FOXM1	forkhead box M1
2629	GBA1	glucosylceramidase beta 1
406937	MIR145	microRNA 145
4210	MEFV	MEFV innate immunity regulator, pyrin
5111	PCNA	proliferating cell nuclear antigen
796	CALCA	calcitonin related polypeptide alpha
958	CD40	CD40 molecule
959	CD40LG	CD40 ligand
1385	CREB1	cAMP responsive element binding protein 1
1728	NQO1	NAD(P)H quinone dehydrogenase 1
2896	GRN	granulin precursor
3084	NRG1	neuregulin 1
378938	MALAT1	metastasis associated lung adenocarcinoma transcript 1
5027	P2RX7	purinergic receptor P2X 7
5806	PTX3	pentraxin 3
6469	SHH	sonic hedgehog signaling molecule
860	RUNX2	RUNX family transcription factor 2
1268	CNR1	cannabinoid receptor 1
1545	CYP1B1	cytochrome P450 family 1 subfamily B member 1
3620	IDO1	indoleamine 2,3-dioxygenase 1
5295	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1
5465	PPARA	peroxisome proliferator activated receptor alpha
648	BMI1	BMI1 proto-oncogene, polycomb ring finger
2200	FBN1	fibrillin 1
23405	DICER1	dicer 1, ribonuclease III
2885	GRB2	growth factor receptor bound protein 2
3308	HSPA4	heat shock protein family A (Hsp70) member 4
3559	IL2RA	interleukin 2 receptor subunit alpha
4018	LPA	lipoprotein(a)
4297	KMT2A	lysine methyltransferase 2A
4323	MMP14	matrix metallopeptidase 14
5580	PRKCD	protein kinase C delta
7431	VIM	vimentin
203228	C9orf72	C9orf72-SMCR8 complex subunit
3667	IRS1	insulin receptor substrate 1
60489	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G
811	CALR	calreticulin
948	CD36	CD36 molecule
2022	ENG	endoglin
331	XIAP	X-linked inhibitor of apoptosis
354	KLK3	kallikrein related peptidase 3
57817	HAMP	hepcidin antimicrobial peptide
6280	S100A9	S100 calcium binding protein A9
6285	S100B	S100 calcium binding protein B
6615	SNAI1	snail family transcriptional repressor 1
7052	TGM2	transglutaminase 2
7057	THBS1	thrombospondin 1
8678	BECN1	beclin 1
998	CDC42	cell division cycle 42
100124700	HOTAIR	HOX transcript antisense RNA
10673	TNFSF13B	TNF superfamily member 13b
11186	RASSF1	Ras association domain family member 1
2312	FLG	filaggrin
283120	H19	H19 imprinted maternally expressed transcript
3593	IL12B	interleukin 12B
4893	NRAS	NRAS proto-oncogene, GTPase
5021	OXTR	oxytocin receptor
5315	PKM	pyruvate kinase M1/2
5328	PLAU	plasminogen activator, urokinase
6794	STK11	serine/threonine kinase 11
6935	ZEB1	zinc finger E-box binding homeobox 1
7412	VCAM1	vascular cell adhesion molecule 1
9365	KL	klotho
2034	EPAS1	endothelial PAS domain protein 1
2056	EPO	erythropoietin
2155	F7	coagulation factor VII
2212	FCGR2A	Fc gamma receptor IIa
22943	DKK1	dickkopf WNT signaling pathway inhibitor 1
3172	HNF4A	hepatocyte nuclear factor 4 alpha
3685	ITGAV	integrin subunit alpha V
5371	PML	PML nuclear body scaffold
7048	TGFBR2	transforming growth factor beta receptor 2
7139	TNNT2	troponin T2, cardiac type
867	CBL	Cbl proto-oncogene
116519	APOA5	apolipoprotein A5
1788	DNMT3A	DNA methyltransferase 3 alpha
1994	ELAVL1	ELAV like RNA binding protein 1
2521	FUS	FUS RNA binding protein
2539	G6PD	glucose-6-phosphate dehydrogenase
285	ANGPT2	angiopoietin 2
302	ANXA2	annexin A2
3240	HP	haptoglobin
3600	IL15	interleukin 15
4160	MC4R	melanocortin 4 receptor
4854	NOTCH3	notch receptor 3
5591	PRKDC	protein kinase, DNA-activated, catalytic subunit
6927	HNF1A	HNF1 homeobox A
7430	EZR	ezrin
1050	CEBPA	CCAAT enhancer binding protein alpha
1544	CYP1A2	cytochrome P450 family 1 subfamily A member 2
268	AMH	anti-Mullerian hormone
2688	GH1	growth hormone 1
3956	LGALS1	galectin 1
4049	LTA	lymphotoxin alpha
5156	PDGFRA	platelet derived growth factor receptor alpha
5894	RAF1	Raf-1 proto-oncogene, serine/threonine kinase
6850	SYK	spleen associated tyrosine kinase
7153	TOP2A	DNA topoisomerase II alpha
1589	CYP21A2	cytochrome P450 family 21 subfamily A member 2
23586	RIGI	RNA sensor RIG-I
3303	HSPA1A	heat shock protein family A (Hsp70) member 1A
3689	ITGB2	integrin subunit beta 2
4615	MYD88	MYD88 innate immune signal transduction adaptor
4792	NFKBIA	NFKB inhibitor alpha
567	B2M	beta-2-microglobulin
6662	SOX9	SRY-box transcription factor 9
7133	TNFRSF1B	TNF receptor superfamily member 1B
7189	TRAF6	TNF receptor associated factor 6
10855	HPSE	heparanase
1111	CHEK1	checkpoint kinase 1
11315	PARK7	Parkinsonism associated deglycase
133	ADM	adrenomedullin
1958	EGR1	early growth response 1
2214	FCGR3A	Fc gamma receptor IIIa
4316	MMP7	matrix metallopeptidase 7
4613	MYCN	MYCN proto-oncogene, bHLH transcription factor
5300	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
540	ATP7B	ATPase copper transporting beta
5566	PRKACA	protein kinase cAMP-activated catalytic subunit alpha
5950	RBP4	retinol binding protein 4
6323	SCN1A	sodium voltage-gated channel alpha subunit 1
7128	TNFAIP3	TNF alpha induced protein 3
7253	TSHR	thyroid stimulating hormone receptor
7424	VEGFC	vascular endothelial growth factor C
7442	TRPV1	transient receptor potential cation channel subfamily V member 1
8091	HMGA2	high mobility group AT-hook 2
9314	KLF4	KLF transcription factor 4
2065	ERBB3	erb-b2 receptor tyrosine kinase 3
2534	FYN	FYN proto-oncogene, Src family tyrosine kinase
2625	GATA3	GATA binding protein 3
2784	GNB3	G protein subunit beta 3
5159	PDGFRB	platelet derived growth factor receptor beta
5562	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1
7046	TGFBR1	transforming growth factor beta receptor 1
79001	VKORC1	vitamin K epoxide reductase complex subunit 1
80339	PNPLA3	patatin like phospholipase domain containing 3
9021	SOCS3	suppressor of cytokine signaling 3
10018	BCL2L11	BCL2 like 11
1019	CDK4	cyclin dependent kinase 4
174	AFP	alpha fetoprotein
3014	H2AX	H2A.X variant histone
545	ATR	ATR serine/threonine kinase
6786	STIM1	stromal interaction molecule 1
729230	CCR2	C-C motif chemokine receptor 2
10631	POSTN	periostin
30835	CD209	CD209 molecule
3375	IAPP	islet amyloid polypeptide
3570	IL6R	interleukin 6 receptor
4087	SMAD2	SMAD family member 2
4157	MC1R	melanocortin 1 receptor
4904	YBX1	Y-box binding protein 1
5053	PAH	phenylalanine hydroxylase
5058	PAK1	p21 (RAC1) activated kinase 1
5080	PAX6	paired box 6
5340	PLG	plasminogen
5478	PPIA	peptidylprolyl isomerase A
5624	PROC	protein C, inactivator of coagulation factors Va and VIIIa
652	BMP4	bone morphogenetic protein 4
7077	TIMP2	TIMP metallopeptidase inhibitor 2
7415	VCP	valosin containing protein
7474	WNT5A	Wnt family member 5A
7517	XRCC3	X-ray repair cross complementing 3
864	RUNX3	RUNX family transcription factor 3
2078	ERG	ETS transcription factor ERG
23621	BACE1	beta-secretase 1
3066	HDAC2	histone deacetylase 2
3767	KCNJ11	potassium inwardly rectifying channel subfamily J member 11
4035	LRP1	LDL receptor related protein 1
406906	MIR122	microRNA 122
4683	NBN	nibrin
6382	SDC1	syndecan 1
6401	SELE	selectin E
6403	SELP	selectin P
65018	PINK1	PTEN induced kinase 1
6597	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
6868	ADAM17	ADAM metallopeptidase domain 17
820	CAMP	cathelicidin antimicrobial peptide
10599	SLCO1B1	solute carrier organic anion transporter family member 1B1
1280	COL2A1	collagen type II alpha 1 chain
135	ADORA2A	adenosine A2a receptor
1789	DNMT3B	DNA methyltransferase 3 beta
216	ALDH1A1	aldehyde dehydrogenase 1 family member A1
26291	FGF21	fibroblast growth factor 21
2638	GC	GC vitamin D binding protein
3329	HSPD1	heat shock protein family D (Hsp60) member 1
3350	HTR1A	5-hydroxytryptamine receptor 1A
345	APOC3	apolipoprotein C3
3932	LCK	LCK proto-oncogene, Src family tyrosine kinase
4057	LTF	lactotransferrin
4363	ABCC1	ATP binding cassette subfamily C member 1
4627	MYH9	myosin heavy chain 9
4684	NCAM1	neural cell adhesion molecule 1
59067	IL21	interleukin 21
6093	ROCK1	Rho associated coiled-coil containing protein kinase 1
6598	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
7137	TNNI3	troponin I3, cardiac type
7249	TSC2	TSC complex subunit 2
7341	SUMO1	small ubiquitin like modifier 1
84868	HAVCR2	hepatitis A virus cellular receptor 2
1051	CEBPB	CCAAT enhancer binding protein beta
2244	FGB	fibrinogen beta chain
2272	FHIT	fragile histidine triad diadenosine triphosphatase
3115	HLA-DPB1	major histocompatibility complex, class II, DP beta 1
4072	EPCAM	epithelial cell adhesion molecule
5228	PGF	placental growth factor
6464	SHC1	SHC adaptor protein 1
6502	SKP2	S-phase kinase associated protein 2
6678	SPARC	secreted protein acidic and cysteine rich
7351	UCP2	uncoupling protein 2
768	CA9	carbonic anhydrase 9
7941	PLA2G7	phospholipase A2 group VII
801	CALM1	calmodulin 1
9212	AURKB	aurora kinase B
1045	CDX2	caudal type homeobox 2
149233	IL23R	interleukin 23 receptor
153	ADRB1	adrenoceptor beta 1
155	ADRB3	adrenoceptor beta 3
1585	CYP11B2	cytochrome P450 family 11 subfamily B member 2
1814	DRD3	dopamine receptor D3
197	AHSG	alpha 2-HS glycoprotein
1977	EIF4E	eukaryotic translation initiation factor 4E
2150	F2RL1	F2R like trypsin receptor 1
2243	FGA	fibrinogen alpha chain
2289	FKBP5	FKBP prolyl isomerase 5
22914	KLRK1	killer cell lectin like receptor K1
2316	FLNA	filamin A
2492	FSHR	follicle stimulating hormone receptor
2690	GHR	growth hormone receptor
2735	GLI1	GLI family zinc finger 1
3312	HSPA8	heat shock protein family A (Hsp70) member 8
3456	IFNB1	interferon beta 1
3551	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta
3674	ITGA2B	integrin subunit alpha 2b
50616	IL22	interleukin 22
5428	POLG	DNA polymerase gamma, catalytic subunit
55294	FBXW7	F-box and WD repeat domain containing 7
6462	SHBG	sex hormone binding globulin
7172	TPMT	thiopurine S-methyltransferase
775	CACNA1C	calcium voltage-gated channel subunit alpha1 C
847	CAT	catalase
8651	SOCS1	suppressor of cytokine signaling 1
875	CBS	cystathionine beta-synthase
94025	MUC16	mucin 16, cell surface associated
2149	F2R	coagulation factor II thrombin receptor
3566	IL4R	interleukin 4 receptor
406913	MIR126	microRNA 126
4311	MME	membrane metalloendopeptidase
4973	OLR1	oxidized low density lipoprotein receptor 1
5172	SLC26A4	solute carrier family 26 member 4
5176	SERPINF1	serpin family F member 1
551	AVP	arginine vasopressin
5741	PTH	parathyroid hormone
604	BCL6	BCL6 transcription repressor
613	BCR	BCR activator of RhoGEF and GTPase
6275	S100A4	S100 calcium binding protein A4
6521	SLC4A1	solute carrier family 4 member 1 (Diego blood group)
7018	TF	transferrin
7037	TFRC	transferrin receptor
7295	TXN	thioredoxin
7508	XPC	XPC complex subunit, DNA damage recognition and repair factor
7514	XPO1	exportin 1
898	CCNE1	cyclin E1
947	CD34	CD34 molecule
125	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
1555	CYP2B6	cytochrome P450 family 2 subfamily B member 6
2113	ETS1	ETS proto-oncogene 1, transcription factor
2162	F13A1	coagulation factor XIII A chain
2353	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
24	ABCA4	ATP binding cassette subfamily A member 4
252995	FNDC5	fibronectin type III domain containing 5
2645	GCK	glucokinase
3297	HSF1	heat shock transcription factor 1
361	AQP4	aquaporin 4
3673	ITGA2	integrin subunit alpha 2
4803	NGF	nerve growth factor
4842	NOS1	nitric oxide synthase 1
4914	NTRK1	neurotrophic receptor tyrosine kinase 1
50964	SOST	sclerostin
5327	PLAT	plasminogen activator, tissue type
5610	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2
6256	RXRA	retinoid X receptor alpha
6261	RYR1	ryanodine receptor 1
6720	SREBF1	sterol regulatory element binding transcription factor 1
7273	TTN	titin
7528	YY1	YY1 transcription factor
7534	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
8856	NR1I2	nuclear receptor subfamily 1 group I member 2
103	ADAR	adenosine deaminase RNA specific
1139	CHRNA7	cholinergic receptor nicotinic alpha 7 subunit
1536	CYBB	cytochrome b-245 beta chain
1548	CYP2A6	cytochrome P450 family 2 subfamily A member 6
1969	EPHA2	EPH receptor A2
2641	GCG	glucagon
2876	GPX1	glutathione peroxidase 1
301	ANXA1	annexin A1
3418	IDH2	isocitrate dehydrogenase (NADP(+)) 2
3592	IL12A	interleukin 12A
3661	IRF3	interferon regulatory factor 3
3678	ITGA5	integrin subunit alpha 5
4221	MEN1	menin 1
4830	NME1	NME/NM23 nucleoside diphosphate kinase 1
4852	NPY	neuropeptide Y
54790	TET2	tet methylcytosine dioxygenase 2
558	AXL	AXL receptor tyrosine kinase
5770	PTPN1	protein tyrosine phosphatase non-receptor type 1
5777	PTPN6	protein tyrosine phosphatase non-receptor type 6
60	ACTB	actin beta
6606	SMN1	survival of motor neuron 1, telomeric
7045	TGFBI	transforming growth factor beta induced
8829	NRP1	neuropilin 1
8837	CFLAR	CASP8 and FADD like apoptosis regulator
940	CD28	CD28 molecule
949	SCARB1	scavenger receptor class B member 1
1030	CDKN2B	cyclin dependent kinase inhibitor 2B
10664	CTCF	CCCTC-binding factor
1278	COL1A2	collagen type I alpha 2 chain
1410	CRYAB	crystallin alpha B
1535	CYBA	cytochrome b-245 alpha chain
2052	EPHX1	epoxide hydrolase 1
2158	F9	coagulation factor IX
2194	FASN	fatty acid synthase
23028	KDM1A	lysine demethylase 1A
2547	XRCC6	X-ray repair cross complementing 6
28	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
3040	HBA2	hemoglobin subunit alpha 2
358	AQP1	aquaporin 1 (Colton blood group)
3897	L1CAM	L1 cell adhesion molecule
4595	MUTYH	mutY DNA glycosylase
4771	NF2	NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor
4804	NGFR	nerve growth factor receptor
50507	NOX4	NADPH oxidase 4
51284	TLR7	toll like receptor 7
5294	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
5604	MAP2K1	mitogen-activated protein kinase kinase 1
5617	PRL	prolactin
